producto_id,nombre,categoria,marca,genero_linea,talle,color,estado,precio_venta,costo_estimado,margen_bruto,margen_porcentaje,stock_fisico,stock_reservado,stock_disponible,stock_minimo,alerta_stock
PROD044,Top Deportivo,tops,MoveFit,Mujer,M,Rosa,Activo,21400,12000,9400,43.93,2,0,2,4,Bajo stock
PROD045,Top Deportivo,tops,MoveFit,Mujer,M,Blanco,Activo,23500,12600,10900,46.38,22,4,18,8,Stock normal
PROD046,Top Deportivo,tops,MoveFit,Mujer,L,Negro,Activo,24200,12100,12100,50.0,39,1,38,7,Stock normal
PROD047,Top Deportivo,tops,MoveFit,Mujer,L,Rosa,Activo,24400,11800,12600,51.64,10,1,9,8,Stock normal
PROD048,Top Deportivo,tops,MoveFit,Mujer,L,Blanco,Activo,24200,11400,12800,52.89,21,3,18,8,Stock normal
PROD049,Buzo Oversize,buzos,UrbanSport,Unisex,M,Blanco,Activo,52100,31800,20300,38.96,15,1,14,4,Stock normal
PROD050,Buzo Oversize,buzos,UrbanSport,Unisex,M,Gris,Activo,52000,28500,23500,45.19,2,1,1,8,Bajo stock
PROD051,Buzo Oversize,buzos,UrbanSport,Unisex,M,Negro,Activo,47400,31600,15800,33.33,29,2,27,4,Stock normal
PROD052,Buzo Oversize,buzos,UrbanSport,Unisex,L,Blanco,Activo,52300,31900,20400,39.01,14,1,13,2,Stock normal
PROD053,Buzo Oversize,buzos,UrbanSport,Unisex,L,Gris,Activo,48900,29300,19600,40.08,4,2,2,8,Bajo stock
PROD054,Buzo Oversize,buzos,UrbanSport,Unisex,L,Negro,Inactivo,48500,30300,18200,37.53,2,0,2,8,Inactivo
PROD055,Buzo Oversize,buzos,UrbanSport,Unisex,XL,Blanco,Activo,48300,28100,20200,41.82,16,4,12,3,Stock normal
PROD056,Buzo Oversize,buzos,UrbanSport,Unisex,XL,Gris,Activo,53500,29200,24300,45.42,6,3,3,6,Bajo stock
PROD057,Buzo Oversize,buzos,UrbanSport,Unisex,XL,Negro,Discontinuado,48400,31500,16900,34.92,2,0,2,6,Discontinuado
PROD058,Zapatilla Running,zapatillas,RunPro,Unisex,39,Negro,Inactivo,75600,56400,19200,25.4,0,0,0,4,Inactivo
PROD059,Zapatilla Running,zapatillas,RunPro,Unisex,39,Azul,Activo,83500,49400,34100,40.84,34,1,33,7,Stock normal
PROD060,Zapatilla Running,zapatillas,RunPro,Unisex,39,Blanco,Discontinuado,78900,49900,29000,36.76,2,0,2,4,Discontinuado
