venta_producto_id,venta_id,producto_id,producto_nombre,categoria,talle,color,cantidad,precio_unitario,descuento_item,subtotal_item,total_item
VPI00117,VTA0067,PROD048,Top Deportivo,tops,L,Blanco,1,24200,0,24200,24200
VPI00118,VTA0068,PROD050,Buzo Oversize,buzos,M,Gris,1,52000,0,52000,52000
VPI00119,VTA0068,PROD037,Short Deportivo,shorts,XL,Gris,1,23900,0,23900,23900
VPI00120,VTA0069,PROD049,Buzo Oversize,buzos,M,Blanco,1,52100,1500,52100,50600
VPI00121,VTA0070,PROD026,Campera Running,camperas,M,Azul,3,60200,0,180600,180600
VPI00122,VTA0071,PROD001,Remera Dry-Fit,remeras,S,Negro,1,17800,2000,17800,15800
VPI00123,VTA0072,PROD059,Zapatilla Running,zapatillas,39,Azul,1,83500,2000,83500,81500
VPI00124,VTA0073,PROD026,Campera Running,camperas,M,Azul,1,60200,1500,60200,58700
VPI00125,VTA0074,PROD026,Campera Running,camperas,M,Azul,1,60200,2000,60200,58200
VPI00126,VTA0075,PROD050,Buzo Oversize,buzos,M,Gris,1,52000,0,52000,52000
VPI00127,VTA0075,PROD023,Campera Running,camperas,S,Azul,1,53700,0,53700,53700
VPI00128,VTA0076,PROD050,Buzo Oversize,buzos,M,Gris,1,52000,3000,52000,49000
VPI00129,VTA0077,PROD051,Buzo Oversize,buzos,M,Negro,1,47400,1500,47400,45900
VPI00130,VTA0077,PROD018,Calza Training,calzas,M,Violeta,1,30900,1000,30900,29900
VPI00131,VTA0078,PROD033,Short Deportivo,shorts,M,Azul,1,23700,0,23700,23700
VPI00132,VTA0078,PROD025,Campera Running,camperas,M,Negro,1,60800,0,60800,60800
VPI00133,VTA0079,PROD055,Buzo Oversize,buzos,XL,Blanco,1,48300,0,48300,48300
VPI00134,VTA0080,PROD024,Campera Running,camperas,S,Verde,1,59200,1500,59200,57700
VPI00135,VTA0080,PROD019,Calza Training,calzas,L,Negro,1,35700,0,35700,35700
VPI00136,VTA0081,PROD043,Top Deportivo,tops,M,Negro,2,21000,1500,42000,40500
VPI00137,VTA0081,PROD039,Short Deportivo,shorts,XL,Azul,1,24900,0,24900,24900
VPI00138,VTA0082,PROD025,Campera Running,camperas,M,Negro,1,60800,1500,60800,59300
VPI00139,VTA0083,PROD014,Calza Training,calzas,S,Gris,1,34100,3000,34100,31100
VPI00140,VTA0084,PROD035,Short Deportivo,shorts,L,Negro,1,25300,0,25300,25300
VPI00141,VTA0084,PROD055,Buzo Oversize,buzos,XL,Blanco,1,48300,0,48300,48300
VPI00142,VTA0085,PROD003,Remera Dry-Fit,remeras,S,Blanco,1,17500,0,17500,17500
VPI00143,VTA0085,PROD027,Campera Running,camperas,M,Verde,3,56000,1000,168000,167000
VPI00144,VTA0086,PROD013,Calza Training,calzas,S,Negro,2,34000,3000,68000,65000
VPI00145,VTA0086,PROD024,Campera Running,camperas,S,Verde,1,59200,1000,59200,58200
VPI00146,VTA0086,PROD044,Top Deportivo,tops,M,Rosa,2,21400,2000,42800,40800
VPI00147,VTA0087,PROD059,Zapatilla Running,zapatillas,39,Azul,1,83500,0,83500,83500
VPI00148,VTA0087,PROD024,Campera Running,camperas,S,Verde,1,59200,0,59200,59200
VPI00149,VTA0088,PROD015,Calza Training,calzas,S,Violeta,2,34400,1500,68800,67300
VPI00150,VTA0089,PROD002,Remera Dry-Fit,remeras,S,Azul,1,19300,0,19300,19300
VPI00151,VTA0090,PROD031,Short Deportivo,shorts,M,Gris,1,24700,0,24700,24700
VPI00152,VTA0090,PROD029,Campera Running,camperas,L,Azul,1,57500,0,57500,57500
VPI00153,VTA0091,PROD040,Top Deportivo,tops,S,Negro,1,24000,3000,24000,21000
VPI00154,VTA0091,PROD030,Campera Running,camperas,L,Verde,1,54500,0,54500,54500
VPI00155,VTA0092,PROD043,Top Deportivo,tops,M,Negro,1,21000,1500,21000,19500
VPI00156,VTA0093,PROD002,Remera Dry-Fit,remeras,S,Azul,1,19300,0,19300,19300
VPI00157,VTA0094,PROD023,Campera Running,camperas,S,Azul,1,53700,0,53700,53700
VPI00158,VTA0095,PROD013,Calza Training,calzas,S,Negro,1,34000,0,34000,34000
VPI00159,VTA0096,PROD049,Buzo Oversize,buzos,M,Blanco,1,52100,1000,52100,51100
VPI00160,VTA0097,PROD048,Top Deportivo,tops,L,Blanco,1,24200,0,24200,24200
VPI00161,VTA0097,PROD029,Campera Running,camperas,L,Azul,1,57500,3000,57500,54500
VPI00162,VTA0097,PROD025,Campera Running,camperas,M,Negro,1,60800,1000,60800,59800
VPI00163,VTA0098,PROD007,Remera Dry-Fit,remeras,L,Negro,1,17300,1000,17300,16300
VPI00164,VTA0099,PROD028,Campera Running,camperas,L,Negro,1,57800,0,57800,57800
VPI00165,VTA0099,PROD018,Calza Training,calzas,M,Violeta,1,30900,2000,30900,28900
VPI00166,VTA0100,PROD005,Remera Dry-Fit,remeras,M,Azul,1,19300,1500,19300,17800
VPI00167,VTA0101,PROD049,Buzo Oversize,buzos,M,Blanco,1,52100,0,52100,52100
VPI00168,VTA0102,PROD012,Remera Dry-Fit,remeras,XL,Blanco,1,19500,2000,19500,17500
VPI00169,VTA0103,PROD032,Short Deportivo,shorts,M,Negro,1,25300,0,25300,25300
VPI00170,VTA0104,PROD046,Top Deportivo,tops,L,Negro,1,24200,1000,24200,23200
VPI00171,VTA0104,PROD005,Remera Dry-Fit,remeras,M,Azul,2,19300,0,38600,38600
VPI00172,VTA0105,PROD032,Short Deportivo,shorts,M,Negro,1,25300,1500,25300,23800
VPI00173,VTA0106,PROD050,Buzo Oversize,buzos,M,Gris,2,52000,0,104000,104000
VPI00174,VTA0106,PROD027,Campera Running,camperas,M,Verde,1,56000,1500,56000,54500
VPI00175,VTA0107,PROD012,Remera Dry-Fit,remeras,XL,Blanco,3,19500,2000,58500,56500
VPI00176,VTA0107,PROD050,Buzo Oversize,buzos,M,Gris,1,52000,0,52000,52000
VPI00177,VTA0108,PROD034,Short Deportivo,shorts,L,Gris,2,24300,0,48600,48600
VPI00178,VTA0109,PROD038,Short Deportivo,shorts,XL,Negro,1,23900,1500,23900,22400
VPI00179,VTA0109,PROD010,Remera Dry-Fit,remeras,XL,Negro,2,17800,0,35600,35600
VPI00180,VTA0110,PROD027,Campera Running,camperas,M,Verde,1,56000,3000,56000,53000
VPI00181,VTA0110,PROD040,Top Deportivo,tops,S,Negro,2,24000,1000,48000,47000
VPI00182,VTA0111,PROD027,Campera Running,camperas,M,Verde,1,56000,0,56000,56000
VPI00183,VTA0112,PROD026,Campera Running,camperas,M,Azul,1,60200,1500,60200,58700
VPI00184,VTA0113,PROD019,Calza Training,calzas,L,Negro,2,35700,2000,71400,69400
VPI00185,VTA0114,PROD033,Short Deportivo,shorts,M,Azul,1,23700,1000,23700,22700
VPI00186,VTA0114,PROD030,Campera Running,camperas,L,Verde,1,54500,0,54500,54500
VPI00187,VTA0115,PROD055,Buzo Oversize,buzos,XL,Blanco,1,48300,1000,48300,47300
VPI00188,VTA0115,PROD042,Top Deportivo,tops,S,Blanco,1,23000,0,23000,23000
VPI00189,VTA0116,PROD037,Short Deportivo,shorts,XL,Gris,1,23900,1500,23900,22400
VPI00190,VTA0117,PROD008,Remera Dry-Fit,remeras,L,Azul,3,17800,2000,53400,51400
VPI00191,VTA0117,PROD009,Remera Dry-Fit,remeras,L,Blanco,1,17300,1500,17300,15800
VPI00192,VTA0118,PROD046,Top Deportivo,tops,L,Negro,1,24200,3000,24200,21200
VPI00193,VTA0119,PROD040,Top Deportivo,tops,S,Negro,1,24000,1000,24000,23000
VPI00194,VTA0120,PROD051,Buzo Oversize,buzos,M,Negro,2,47400,0,94800,94800
VPI00195,VTA0120,PROD047,Top Deportivo,tops,L,Rosa,1,24400,1000,24400,23400
VPI00196,VTA0121,PROD025,Campera Running,camperas,M,Negro,2,60800,0,121600,121600
VPI00197,VTA0121,PROD010,Remera Dry-Fit,remeras,XL,Negro,1,17800,0,17800,17800
VPI00198,VTA0122,PROD050,Buzo Oversize,buzos,M,Gris,1,52000,3000,52000,49000
VPI00199,VTA0123,PROD025,Campera Running,camperas,M,Negro,1,60800,0,60800,60800
VPI00200,VTA0124,PROD013,Calza Training,calzas,S,Negro,1,34000,1000,34000,33000
VPI00201,VTA0124,PROD016,Calza Training,calzas,M,Negro,1,31400,1000,31400,30400
VPI00202,VTA0125,PROD037,Short Deportivo,shorts,XL,Gris,1,23900,2000,23900,21900
VPI00203,VTA0126,PROD029,Campera Running,camperas,L,Azul,1,57500,3000,57500,54500
VPI00204,VTA0127,PROD040,Top Deportivo,tops,S,Negro,1,24000,0,24000,24000
VPI00205,VTA0128,PROD009,Remera Dry-Fit,remeras,L,Blanco,3,17300,0,51900,51900
VPI00206,VTA0128,PROD001,Remera Dry-Fit,remeras,S,Negro,1,17800,3000,17800,14800
VPI00207,VTA0129,PROD015,Calza Training,calzas,S,Violeta,1,34400,0,34400,34400
VPI00208,VTA0129,PROD035,Short Deportivo,shorts,L,Negro,2,25300,0,50600,50600
VPI00209,VTA0130,PROD001,Remera Dry-Fit,remeras,S,Negro,1,17800,1500,17800,16300
VPI00210,VTA0130,PROD020,Calza Training,calzas,L,Gris,1,33000,3000,33000,30000
VPI00211,VTA0130,PROD037,Short Deportivo,shorts,XL,Gris,2,23900,0,47800,47800
VPI00212,VTA0131,PROD001,Remera Dry-Fit,remeras,S,Negro,1,17800,1000,17800,16800
VPI00213,VTA0131,PROD048,Top Deportivo,tops,L,Blanco,1,24200,0,24200,24200
VPI00214,VTA0132,PROD009,Remera Dry-Fit,remeras,L,Blanco,1,17300,0,17300,17300
VPI00215,VTA0133,PROD047,Top Deportivo,tops,L,Rosa,1,24400,1000,24400,23400
VPI00216,VTA0134,PROD046,Top Deportivo,tops,L,Negro,1,24200,0,24200,24200
VPI00217,VTA0134,PROD050,Buzo Oversize,buzos,M,Gris,1,52000,1000,52000,51000
VPI00218,VTA0135,PROD045,Top Deportivo,tops,M,Blanco,1,23500,3000,23500,20500
VPI00219,VTA0136,PROD034,Short Deportivo,shorts,L,Gris,1,24300,0,24300,24300
VPI00220,VTA0136,PROD046,Top Deportivo,tops,L,Negro,1,24200,0,24200,24200
VPI00221,VTA0137,PROD033,Short Deportivo,shorts,M,Azul,2,23700,3000,47400,44400
VPI00222,VTA0137,PROD029,Campera Running,camperas,L,Azul,1,57500,2000,57500,55500
VPI00223,VTA0138,PROD053,Buzo Oversize,buzos,L,Gris,1,48900,0,48900,48900
VPI00224,VTA0139,PROD005,Remera Dry-Fit,remeras,M,Azul,1,19300,0,19300,19300
VPI00225,VTA0139,PROD031,Short Deportivo,shorts,M,Gris,2,24700,2000,49400,47400
VPI00226,VTA0139,PROD003,Remera Dry-Fit,remeras,S,Blanco,1,17500,2000,17500,15500
VPI00227,VTA0140,PROD059,Zapatilla Running,zapatillas,39,Azul,1,83500,0,83500,83500
VPI00228,VTA0141,PROD047,Top Deportivo,tops,L,Rosa,1,24400,2000,24400,22400
VPI00229,VTA0142,PROD043,Top Deportivo,tops,M,Negro,1,21000,0,21000,21000
VPI00230,VTA0143,PROD003,Remera Dry-Fit,remeras,S,Blanco,1,17500,0,17500,17500
VPI00231,VTA0144,PROD047,Top Deportivo,tops,L,Rosa,1,24400,1500,24400,22900
VPI00232,VTA0144,PROD037,Short Deportivo,shorts,XL,Gris,1,23900,0,23900,23900
VPI00233,VTA0144,PROD021,Calza Training,calzas,L,Violeta,3,32500,0,97500,97500
VPI00234,VTA0145,PROD028,Campera Running,camperas,L,Negro,1,57800,1500,57800,56300
VPI00235,VTA0145,PROD036,Short Deportivo,shorts,L,Azul,2,25500,2000,51000,49000
VPI00236,VTA0146,PROD056,Buzo Oversize,buzos,XL,Gris,1,53500,0,53500,53500
VPI00237,VTA0147,PROD016,Calza Training,calzas,M,Negro,1,31400,1500,31400,29900
VPI00238,VTA0148,PROD039,Short Deportivo,shorts,XL,Azul,1,24900,0,24900,24900
VPI00239,VTA0149,PROD001,Remera Dry-Fit,remeras,S,Negro,1,17800,0,17800,17800
VPI00240,VTA0150,PROD050,Buzo Oversize,buzos,M,Gris,1,52000,1500,52000,50500
VPI00241,VTA0150,PROD019,Calza Training,calzas,L,Negro,1,35700,1500,35700,34200
VPI00242,VTA0151,PROD027,Campera Running,camperas,M,Verde,1,56000,0,56000,56000
VPI00243,VTA0152,PROD015,Calza Training,calzas,S,Violeta,1,34400,0,34400,34400
VPI00244,VTA0153,PROD047,Top Deportivo,tops,L,Rosa,2,24400,0,48800,48800
VPI00245,VTA0154,PROD005,Remera Dry-Fit,remeras,M,Azul,1,19300,0,19300,19300
VPI00246,VTA0154,PROD053,Buzo Oversize,buzos,L,Gris,1,48900,0,48900,48900
VPI00247,VTA0154,PROD043,Top Deportivo,tops,M,Negro,1,21000,0,21000,21000
VPI00248,VTA0155,PROD002,Remera Dry-Fit,remeras,S,Azul,1,19300,2000,19300,17300
VPI00249,VTA0155,PROD001,Remera Dry-Fit,remeras,S,Negro,1,17800,1000,17800,16800
VPI00250,VTA0156,PROD007,Remera Dry-Fit,remeras,L,Negro,1,17300,0,17300,17300
VPI00251,VTA0157,PROD016,Calza Training,calzas,M,Negro,3,31400,0,94200,94200
VPI00252,VTA0158,PROD031,Short Deportivo,shorts,M,Gris,1,24700,0,24700,24700
VPI00253,VTA0159,PROD003,Remera Dry-Fit,remeras,S,Blanco,2,17500,3000,35000,32000
VPI00254,VTA0159,PROD015,Calza Training,calzas,S,Violeta,1,34400,0,34400,34400
VPI00255,VTA0159,PROD014,Calza Training,calzas,S,Gris,1,34100,1000,34100,33100
VPI00256,VTA0160,PROD046,Top Deportivo,tops,L,Negro,1,24200,0,24200,24200
VPI00257,VTA0160,PROD053,Buzo Oversize,buzos,L,Gris,1,48900,0,48900,48900
VPI00258,VTA0161,PROD023,Campera Running,camperas,S,Azul,1,53700,0,53700,53700
VPI00259,VTA0161,PROD004,Remera Dry-Fit,remeras,M,Negro,2,18700,1500,37400,35900
VPI00260,VTA0162,PROD023,Campera Running,camperas,S,Azul,2,53700,2000,107400,105400
VPI00261,VTA0162,PROD036,Short Deportivo,shorts,L,Azul,1,25500,2000,25500,23500
VPI00262,VTA0163,PROD041,Top Deportivo,tops,S,Rosa,1,23300,1500,23300,21800
VPI00263,VTA0163,PROD010,Remera Dry-Fit,remeras,XL,Negro,1,17800,0,17800,17800
VPI00264,VTA0164,PROD029,Campera Running,camperas,L,Azul,1,57500,2000,57500,55500
VPI00265,VTA0165,PROD001,Remera Dry-Fit,remeras,S,Negro,1,17800,0,17800,17800
VPI00266,VTA0165,PROD019,Calza Training,calzas,L,Negro,1,35700,0,35700,35700
VPI00267,VTA0165,PROD027,Campera Running,camperas,M,Verde,1,56000,0,56000,56000
VPI00268,VTA0166,PROD018,Calza Training,calzas,M,Violeta,1,30900,3000,30900,27900
VPI00269,VTA0167,PROD007,Remera Dry-Fit,remeras,L,Negro,1,17300,0,17300,17300
VPI00270,VTA0168,PROD053,Buzo Oversize,buzos,L,Gris,2,48900,0,97800,97800
VPI00271,VTA0169,PROD019,Calza Training,calzas,L,Negro,1,35700,0,35700,35700
VPI00272,VTA0169,PROD048,Top Deportivo,tops,L,Blanco,1,24200,1000,24200,23200
VPI00273,VTA0169,PROD045,Top Deportivo,tops,M,Blanco,2,23500,2000,47000,45000
VPI00274,VTA0169,PROD041,Top Deportivo,tops,S,Rosa,1,23300,0,23300,23300
VPI00275,VTA0170,PROD051,Buzo Oversize,buzos,M,Negro,1,47400,1000,47400,46400
VPI00276,VTA0170,PROD027,Campera Running,camperas,M,Verde,1,56000,0,56000,56000
VPI00277,VTA0170,PROD044,Top Deportivo,tops,M,Rosa,1,21400,2000,21400,19400
VPI00278,VTA0171,PROD051,Buzo Oversize,buzos,M,Negro,1,47400,0,47400,47400
VPI00279,VTA0171,PROD024,Campera Running,camperas,S,Verde,1,59200,0,59200,59200
VPI00280,VTA0172,PROD026,Campera Running,camperas,M,Azul,1,60200,2000,60200,58200
VPI00281,VTA0172,PROD049,Buzo Oversize,buzos,M,Blanco,1,52100,0,52100,52100
VPI00282,VTA0173,PROD026,Campera Running,camperas,M,Azul,1,60200,0,60200,60200
VPI00283,VTA0174,PROD047,Top Deportivo,tops,L,Rosa,1,24400,1000,24400,23400
VPI00284,VTA0175,PROD020,Calza Training,calzas,L,Gris,1,33000,0,33000,33000
